Date,Views
2016-10-01,24.14
2016-10-02,23.88
2016-10-03,26.07
2016-10-04,26.38
2016-10-05,23.901379310344826
2016-10-06,23.756785714285712
2016-10-07,20.85
2016-10-08,23.05
2016-10-09,23.95
2016-10-10,24.91
2016-10-11,19.7
2016-10-12,17.72
2016-10-13,21.41
2016-10-14,21.27
2016-10-15,24.25
2016-10-16,24.59
2016-10-17,26.99
2016-10-18,25.23
2016-10-19,23.66
2016-10-20,22.12
2016-10-21,20.25
2016-10-22,23.4
2016-10-23,23.62
2016-10-24,25.39
2016-10-25,24.28
2016-10-26,23.48
2016-10-27,22.31
2016-10-28,19.9
2016-10-29,22.61
2016-10-30,22.99
2016-10-31,25.23
2016-11-01,24.03
2016-11-02,23.74
2016-11-03,22.67
2016-11-04,20.86
2016-11-05,22.98
2016-11-06,23.32
2016-11-07,25.02
2016-11-08,24.6
2016-11-09,25.3
2016-11-10,24.22
2016-11-11,20.82
2016-11-12,23.48
2016-11-13,24.37
2016-11-14,25.56
2016-11-15,24.23
2016-11-16,24.03
2016-11-17,22.34
2016-11-18,20.33
2016-11-19,22.77
2016-11-20,20.38
2016-11-21,24.42
2016-11-22,23.95
2016-11-23,22.7
2016-11-24,21.13
2016-11-25,20.06
2016-11-26,22.9
2016-11-27,22.25
2016-11-28,21.39
2016-11-29,22.78
2016-11-30,20.29
2016-12-01,21.17
2016-12-02,19.55
2016-12-03,22.7
2016-12-04,22.66
2016-12-05,25.2
2016-12-06,23.75
2016-12-07,22.92
2016-12-08,21.9
2016-12-09,19.53
2016-12-10,22.86
2016-12-11,22.93
2016-12-12,24.77
2016-12-13,23.66
2016-12-14,22.66
2016-12-15,20.83
2016-12-16,19.65
2016-12-17,18.57
2016-12-18,22.42
2016-12-19,25.07
2016-12-20,25.04
2016-12-21,26.28
2016-12-22,24.2
2016-12-23,22.54
2016-12-24,25.06
2016-12-25,25.87
2016-12-26,22.70689655172414
2016-12-27,26.92
2016-12-28,27.03
2016-12-29,26.07
2016-12-30,24.36
2016-12-31,26.15
